States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1,cuASR,cuASR_spec_1_prep,cuASR_spec_1,cuASR_spec_2_prep,cuASR_spec_2
100,329,181,17700,0,126,20,265,18,10460,2101,2,1030,27,624
200,323,233,23902,0,163,68,990,24,16446,3725,4,1851,48,1022
300,336,297,23896,0,212,148,2098,25,16597,5218,7,2583,71,1403
400,326,360,24145,0,263,152,2013,25,16800,6830,13,3379,137,1820
500,339,424,24343,0,311,167,2316,25,16729,8327,17,4129,175,2226
600,339,481,24396,0,358,192,2872,25,16720,9937,24,4927,280,2711
700,362,543,30838,0,409,275,3357,25,16879,11339,33,5632,402,3123
800,354,606,30952,0,457,425,4497,25,16928,12973,57,6421,590,5020
900,369,664,30741,0,501,606,5768,26,16944,14462,71,7160,769,5462
1001,380,723,30762,0,548,800,6559,26,16910,16072,82,7949,847,5944
1100,383,783,30984,0,601,1039,8889,26,16972,17560,101,8694,1080,6943
1200,383,842,31107,0,646,1301,9833,26,16990,19205,129,9489,1457,7445
1301,392,907,31038,0,689,1473,11429,26,16902,20723,151,10258,1780,8448
1400,404,966,30937,0,737,1684,13551,26,17013,22524,167,11032,1911,8967
1509,401,1024,31036,0,793,1964,14848,26,17104,24002,202,11870,2280,10049
1600,383,1087,31069,0,828,2145,18298,26,17153,25616,230,12636,2790,10562
1705,405,1141,31117,0,886,2460,20477,26,17015,27300,273,13491,3442,11717
1799,426,1197,30992,0,929,2690,21201,28,17025,28832,316,14245,4082,12720
1901,419,1266,31127,1,970,2968,25394,27,17196,28832,316,14245,4082,12720

