States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1
100,157,92,8918,0,62,19,133,18,5255
200,162,115,11993,0,80,70,496,24,8210
300,166,148,12003,0,106,148,1053,25,8303
400,177,179,12088,0,130,154,1007,25,8404
500,182,228,12148,0,155,177,1160,25,8356
600,182,243,12217,0,180,200,1434,25,8355
700,185,273,15509,0,204,277,1680,25,8445
800,189,305,15497,0,228,437,2249,25,8439
900,192,363,15420,0,253,638,2902,26,8501
1001,194,366,15377,0,277,792,3275,26,8466
1100,198,429,15463,0,300,1102,4462,26,8506
1200,201,424,15588,0,323,1240,4888,26,8521
1301,202,494,15572,0,347,1537,5744,26,8495
1400,205,485,15519,0,370,1670,6772,26,8543
1509,208,520,15611,0,397,1956,7456,26,8573
1600,211,545,15565,0,419,2149,9142,26,8647
1705,214,577,15643,1,443,2470,10266,26,8535
1799,218,606,15548,1,464,2700,10635,29,8525
1901,223,637,15561,1,489,2959,12693,27,8634
2050,229,681,15644,1,525,4074,14484,27,8531
2138,234,707,15679,1,546,3785,15669,27,8583
2207,238,750,18470,1,561,4069,16358,27,8523
2365,241,786,18419,1,587,4703,19384,27,8448
2405,246,812,18550,1,608,4873,19788,27,8674

