States	GraphBLAS_spec_1_prep	GraphBLAS_spec_1	GraphBLAS_spec_2_prep	GraphBLAS_spec_2	GraphBLAS_spec_3_prep	GraphBLAS_spec_3	CUSP_spec_1_prep	CUSP_spec_1	CUSP_spec_2_prep	CUSP_spec_2	CUSP_spec_3_prep	CUSP_spec_3
102	0	54	4	27	93	20	23	6301	297	3433	6248	2535
202	0	65	6	34	133	25	29	6319	420	3499	8834	2589
302	0	84	8	43	176	32	31	9278	423	4933	8971	3592
402	0	101	10	52	224	39	39	11410	428	4957	8936	3531
502	0	120	12	62	272	46	32	10505	431	4982	8931	3524
602	0	138	14	70	310	50	29	9453	434	5031	9111	3592
702	0	158	16	80	355	58	29	9509	438	5052	9006	3542
802	0	175	19	90	399	65	29	9570	437	5151	9144	3636
902	0	193	20	99	433	68	29	9428	438	5045	9227	3582
1003	0	215	23	109	497	78	37	11103	441	5081	9411	3614
1102	0	232	25	119	515	81	31	9461	441	5036	9253	3601
1202	0	248	27	127	559	87	31	9519	448	5078	9434	3620
1303	0	267	29	136	609	93	31	9309	437	4985	9519	3686
1402	0	284	31	145	643	99	31	9496	449	5053	9396	3603
1511	0	305	33	156	704	105	31	9532	450	5120	9526	3658
1602	0	319	35	164	744	116	38	11124	454	5152	9453	3491
1707	0	340	38	173	810	119	42	10807	457	5109	9474	3589
1801	0	356	39	181	824	124	31	9449	457	5105	9747	3674
1903	1	374	42	191	867	130	31	9551	464	5115	9915	3713
2052	0	400	45	206	1086	140	41	9531	468	5193	9678	3657
2140	1	416	46	213	957	144	31	9628	469	5150	9900	3684
2209	1	428	49	218	1017	147	32	9567	472	5169	9865	3717
2367	1	455	51	234	1079	160	32	9601	475	5208	9934	3697
2407	1	462	52	237	1084	160	32	9613	470	5237	9889	3721
