States	GraphBLAS_spec_1_prep	GraphBLAS_spec_1	GraphBLAS_spec_2_prep	GraphBLAS_spec_2	GraphBLAS_spec_3_prep	GraphBLAS_spec_3	CUSP_spec_1_prep	CUSP_spec_1	CUSP_spec_2_prep	CUSP_spec_2	CUSP_spec_3_prep	CUSP_spec_3
102	0	878	3	434	89	320	23	102222	289	55429	6051	40709
202	0	1052	6	535	130	408	28	102983	413	56907	8662	41922
302	0	1349	8	689	171	513	30	152514	414	80793	8746	58544
402	0	1660	10	845	212	621	28	152196	419	80869	8744	58233
502	0	1945	12	1003	256	719	28	153622	422	81433	8737	57884
602	0	2264	14	1157	295	822	28	154773	426	82648	8875	58699
702	0	2598	16	1307	337	924	29	155222	431	82648	8816	58119
802	0	2866	19	1459	379	1032	29	154538	427	82581	8918	59228
902	0	3146	20	1613	420	1136	29	154312	429	82476	9010	58371
1003	0	3461	25	1768	469	1234	29	155677	431	83171	9110	58883
1102	0	3726	24	1926	502	1336	30	154559	434	82391	9065	58869
1202	0	4040	29	2068	546	1436	30	155077	438	83201	9238	59358
1303	0	4325	28	2226	596	1528	30	151939	430	81414	9294	60043
1402	0	4618	30	2369	628	1631	30	155769	442	82573	9180	58929
1511	0	4936	34	2520	684	1738	30	156079	443	83896	9328	59849
1602	0	5195	38	2673	711	1833	30	155998	446	83912	9258	57049
1707	0	5492	41	2820	765	1920	30	156388	447	83175	9309	58884
1801	1	5781	40	2970	806	2006	30	154409	448	83675	9568	60263
1903	1	6067	51	3115	848	2113	30	156060	459	84003	9690	60541
2052	1	6312	44	3361	1070	2264	35	155951	458	84493	9505	60025
2140	1	6678	46	3465	930	2359	31	157583	459	84521	9699	60033
2209	1	6883	48	3570	1137	2411	31	155969	462	84676	9669	60766
2367	1	7146	62	3786	1062	2565	31	155591	461	84600	9738	60336
2407	1	7301	56	3852	1058	2602	32	157624	462	86037	9705	60727
