States,CUDAMPF,GraphBLAS,CUSP,GraphBLAS_spec_1_prep,GraphBLAS_spec_1,GraphBLAS_spec_2_prep,GraphBLAS_spec_2,CUSP_spec_1_prep,CUSP_spec_1,cuASR,cuASR_spec_1_prep,cuASR_spec_1,cuASR_spec_2_prep,cuASR_spec_2
100,3553,1530,148104,0,1054,20,2216,18,87113,17432,2,8573,27,5219
200,3619,1961,199636,0,1358,68,8262,24,136969,30942,4,15320,48,8546
300,3763,2489,199746,0,1759,147,17491,24,138181,43564,7,21520,71,11748
400,3684,3012,211212,0,2187,150,16834,25,140363,57088,13,28176,138,15202
500,3729,3512,203029,0,2606,166,19304,25,139540,69957,17,34390,177,18697
600,3801,4029,204452,0,2980,190,23905,25,139642,83125,24,41258,281,22702
700,4163,4535,257444,0,3373,265,27996,25,140441,94938,32,46948,402,26170
800,3965,5020,257892,0,3771,426,37521,25,141164,108936,56,53839,594,42018
900,4059,5554,256017,0,4175,607,48086,26,141157,122061,71,59800,774,45686
1001,4218,6049,255599,0,4571,803,54691,26,141485,135183,82,66708,852,49703
1100,4328,6553,258145,0,4963,1055,74055,26,141088,148470,101,72451,1086,58052
1200,4481,7035,259527,0,5347,1260,81437,26,141631,162735,127,79707,1464,62285
1301,4312,7537,259242,0,5763,1459,95237,26,141371,175479,151,85484,1790,70710
1400,4444,8043,258946,0,6129,1681,113256,26,141731,189590,168,92532,1921,74984
1509,4571,8575,259605,0,6565,1949,123798,26,142255,203791,196,99328,2291,84028
1600,4566,9032,271997,0,6916,2158,152593,26,143664,217687,230,105972,2803,88344
1705,4455,9561,260355,0,7335,2471,170739,26,141746,232046,273,112885,3440,97618
1799,4527,10023,258882,0,7684,2683,176607,29,142004,245147,316,119204,4107,106357
1901,4692,10604,259463,1,8074,2978,211704,27,143477,258361,340,125675,4322,110816

