states	non_spec	spec
100	341	226
200	430	316
300	542	412
400	675	516
500	817	625
600	979	768
700	1114	863
800	1309	1013
900	1436	1126
1001	1585	1269
1100	1787	1399
1200	1931	1512
1301	2088	1606
1400	2211	1768
1509	2342	1863
1600	2482	2020
1705	2634	2124
1799	2793	2245
1901	2925	2356
2050	3174	2565
2138	3292	2667
2207	3449	2750
2365	3619	2931
2405	3665	2985

