States	GraphBLAS	CUSP
102	174	21683
202	211	27383
302	260	27689
402	306	28068
502	343	28095
602	394	28128
702	446	34553
802	490	34613
902	544	34498
1003	585	34477
1102	632	34436
1202	677	34644
1303	735	34821
1402	772	34743
1511	817	34806
1602	866	34770
1707	911	34930
1801	954	34712
1903	1029	34858
2052	1060	35007
2140	1134	34977
2209	1166	41559
2367	1247	41555
2407	1256	41729
