States	GraphBLAS	CUSP
102	92	11672
202	107	14536
302	133	14866
402	159	15504
502	181	15710
602	207	14116
702	232	17314
802	256	19124
902	283	17241
1003	312	19098
1102	332	17401
1202	356	17409
1303	386	17427
1402	411	17415
1511	435	17487
1602	460	19554
1707	485	19338
1801	504	17411
1903	530	17525
2052	558	18082
2140	585	18426
2209	607	21812
2367	637	23285
2407	652	21051
