States	GraphBLAS	CUSP
102	1409	181198
202	1661	228295
302	2059	230727
402	2514	230131
502	2942	231737
602	3341	232748
702	3729	285646
802	4136	286376
902	4533	285098
1003	4975	285069
1102	5101	287362
1202	5732	308202
1303	6166	287656
1402	6510	287841
1511	7008	288811
1602	7333	287600
1707	7837	288902
1801	8395	287902
1903	8775	289195
2052	9253	288919
2140	9678	291414
2209	10007	346316
2367	10538	346077
2407	10737	346150
