states	ns	s1	st1	s2	st2	s3	st3	cudampf
100	146	93	0	47	5	33	107	292
200	165	105	1	53	8	38	154	298
300	196	127	2	65	12	45	226	266
400	229	151	2	78	14	53	218	287
500	252	177	3	89	17	61	301	283
600	282	197	3	101	19	70	306	286
700	315	223	4	114	20	78	407	330
800	343	248	5	126	22	86	446	298
900	372	273	5	139	28	95	482	312
1001	400	299	6	153	31	104	529	327
1100	436	341	7	166	34	112	574	338
1200	458	348	7	178	37	122	552	326
1301	489	370	8	190	39	129	675	327
1400	517	395	8	203	41	136	709	328
1509	546	419	9	217	48	148	650	328
1600	571	440	9	225	50	154	807	337
1705	602	466	10	241	50	162	793	370
1799	630	485	11	252	53	168	756	367
1901	660	511	12	263	60	176	964	366
2050	701	543	12	280	67	188	988	364
2138	729	566	13	291	59	196	1036	367
2207	749	579	13	300	64	202	1091	377
2365	789	585	14	318	71	213	1109	378
2405	803	627	15	322	74	215	1173	355

